"","GeneSymbol","LevelOfConfidence"
"1","APP","HighEvidence"
"2","CHMP2B","HighEvidence"
"3","CSF1R","HighEvidence"
"4","DNAJC5","HighEvidence"
"5","DNMT1","HighEvidence"
"6","EPM2A","HighEvidence"
"7","GRN","HighEvidence"
"8","ITM2B","HighEvidence"
"9","MAPT","HighEvidence"
"10","NHLRC1","HighEvidence"
"11","NOTCH3","HighEvidence"
"12","PRNP","HighEvidence"
"13","PSEN1","HighEvidence"
"14","PSEN2","HighEvidence"
"15","TARDBP","HighEvidence"
"16","TBK1","HighEvidence"
"17","TYROBP","HighEvidence"
"18","UBQLN2","HighEvidence"
"19","VCP","HighEvidence"
"20","C9orf72","LowEvidence"
"21","CHCHD10","LowEvidence"
"22","DCTN1","LowEvidence"
"23","FUS","LowEvidence"
"24","GBA","LowEvidence"
"25","HNRNPA1","LowEvidence"
"26","HTRA1","LowEvidence"
"27","SNCA","LowEvidence"
"28","SNCB","LowEvidence"
"29","TREM2","LowEvidence"
