"","GeneSymbol","LevelOfConfidence"
"1","ADGRG1","HighEvidence"
"2","AMPD2","HighEvidence"
"3","B3GALNT2","HighEvidence"
"4","CASK","HighEvidence"
"5","CHMP1A","HighEvidence"
"6","CLP1","HighEvidence"
"7","CWF19L1","HighEvidence"
"8","DKC1","HighEvidence"
"9","EXOSC3","HighEvidence"
"10","FKRP","HighEvidence"
"11","FKTN","HighEvidence"
"12","GMPPB","HighEvidence"
"13","ISPD","HighEvidence"
"14","ITPR1","HighEvidence"
"15","KCNC3","HighEvidence"
"16","LARGE","HighEvidence"
"17","OPHN1","HighEvidence"
"18","POMGNT1","HighEvidence"
"19","POMGNT2","HighEvidence"
"20","POMT1","HighEvidence"
"21","POMT2","HighEvidence"
"22","PTF1A","HighEvidence"
"23","RARS2","HighEvidence"
"24","RELN","HighEvidence"
"25","SEPSECS","HighEvidence"
"26","SNX14","HighEvidence"
"27","SPTBN2","HighEvidence"
"28","TINF2","HighEvidence"
"29","TMEM5","HighEvidence"
"30","TSEN2","HighEvidence"
"31","TSEN34","HighEvidence"
"32","TSEN54","HighEvidence"
"33","TUBA1A","HighEvidence"
"34","TUBA8","HighEvidence"
"35","TUBB2B","HighEvidence"
"36","TUBB3","HighEvidence"
"37","VLDLR","HighEvidence"
"38","VRK1","HighEvidence"
"39","WDR81","HighEvidence"
"40","ATP8A2","ModerateEvidence"
"41","B4GAT1","ModerateEvidence"
"42","CA8","ModerateEvidence"
"43","DAG1","ModerateEvidence"
"44","PHGDH","ModerateEvidence"
"45","TERT","ModerateEvidence"
"46","VPS53","ModerateEvidence"
"47","BRF1","LowEvidence"
"48","CDK5","LowEvidence"
"49","EXOSC8","LowEvidence"
"50","FRMD4A","LowEvidence"
"51","PCLO","LowEvidence"
"52","PI4KA","LowEvidence"
"53","PMPCA","LowEvidence"
"54","POMK","LowEvidence"
"55","STUB1","LowEvidence"
"56","TSEN15","LowEvidence"
"57","TUBB","LowEvidence"
