"","countsOverlap","countsProCod","numJunctions","intronicLength"
"ENSG00000266195",0,NA,0,NA
"ENSG00000264715",1,0,0,NA
"ENSG00000264800",1,1,0,NA
"ENSG00000207390",1,1,0,NA
"ENSG00000206995",1,1,0,NA
"ENSG00000266431",0,NA,0,NA
"ENSG00000201725",0,NA,0,NA
"ENSG00000264275",0,NA,0,NA
"ENSG00000251922",1,1,0,NA
"ENSG00000265529",1,1,0,NA
"ENSG00000207525",1,1,0,NA
"ENSG00000252718",0,NA,0,NA
"ENSG00000222881",1,1,0,NA
"ENSG00000264091",2,0,0,NA
"ENSG00000199780",0,NA,0,NA
"ENSG00000199886",1,1,0,NA
"ENSG00000265224",1,0,0,NA
"ENSG00000199094",2,1,0,NA
"ENSG00000251998",0,NA,0,NA
"ENSG00000200701",1,0,0,NA
"ENSG00000200652",1,0,0,NA
"ENSG00000264399",1,1,0,NA
"ENSG00000265213",1,1,0,NA
"ENSG00000266223",1,0,0,NA
"ENSG00000252757",1,1,0,NA
"ENSG00000221269",2,1,0,NA
"ENSG00000263525",0,NA,0,NA
"ENSG00000207556",3,1,0,NA
"ENSG00000238364",1,0,0,NA
"ENSG00000222733",0,NA,0,NA
"ENSG00000221476",1,1,0,NA
"ENSG00000207129",1,1,0,NA
"ENSG00000264165",0,NA,0,NA
"ENSG00000202100",1,0,0,NA
"ENSG00000239178",1,0,0,NA
"ENSG00000238772",1,0,0,NA
"ENSG00000199299",0,NA,0,NA
"ENSG00000202252",1,0,0,NA
"ENSG00000244612",1,1,0,NA
"ENSG00000266132",1,0,0,NA
"ENSG00000221164",1,1,0,NA
"ENSG00000207784",0,NA,0,NA
"ENSG00000251772",0,NA,0,NA
"ENSG00000238355",2,0,0,NA
"ENSG00000202103",0,NA,0,NA
"ENSG00000216042",1,0,0,NA
"ENSG00000212459",0,NA,0,NA
"ENSG00000216181",0,NA,0,NA
"ENSG00000252113",1,1,0,NA
"ENSG00000199366",1,1,0,NA
"ENSG00000206939",0,NA,0,NA
