"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","ATL1","HighEvidence","monoallelic",NA
"2","ATL3","HighEvidence","monoallelic",NA
"3","ELP1","HighEvidence","biallelic",NA
"4","GLA","HighEvidence","xlinked_monoallelic",NA
"5","KIF1A","HighEvidence","biallelic",NA
"6","NGF","HighEvidence","biallelic",NA
"7","NTRK1","HighEvidence","biallelic",NA
"8","PRDM12","HighEvidence","biallelic",NA
"9","PRNP","HighEvidence","monoallelic_not_imprinted",NA
"10","RAB7A","HighEvidence","monoallelic",NA
"11","RETREG1","HighEvidence","biallelic",NA
"12","SCN10A","HighEvidence","monoallelic",NA
"13","SCN11A","HighEvidence","monoallelic",NA
"14","SCN9A","HighEvidence","monoallelic_and_biallelic",NA
"15","SEPT9","HighEvidence","monoallelic",NA
"16","SPTLC1","HighEvidence","monoallelic",NA
"17","SPTLC2","HighEvidence","monoallelic",NA
"18","TRPA1","HighEvidence","monoallelic",NA
"19","TTR","HighEvidence","monoallelic",NA
"20","WNK1","HighEvidence","biallelic",NA
"21","MPV17","ModerateEvidence","biallelic",NA
"22","NAGLU","ModerateEvidence","monoallelic_and_biallelic",NA
"23","CCT5","LowEvidence","biallelic",NA
"24","CLTCL1","LowEvidence","unknown",NA
