"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","COQ8A","HighEvidence","biallelic",NA
"2","TWNK","HighEvidence","biallelic",NA
"3","AARS2","HighEvidence","biallelic",NA
"4","ABCD1","HighEvidence","xlinked_biallelic",NA
"5","ACOX1","HighEvidence","biallelic",NA
"6","ADAR","HighEvidence","monoallelic_and_biallelic",NA
"7","AIMP1","HighEvidence","biallelic",NA
"8","ALDH3A2","HighEvidence","biallelic",NA
"9","ARSA","HighEvidence","biallelic",NA
"10","ASPA","HighEvidence","biallelic",NA
"11","BCAP31","HighEvidence","xlinked_biallelic",NA
"12","BCS1L","HighEvidence","biallelic",NA
"13","CIC","HighEvidence","monoallelic",NA
"14","CLCN2","HighEvidence","biallelic",NA
"15","COQ2","HighEvidence","biallelic",NA
"16","COX10","HighEvidence","biallelic",NA
"17","COX15","HighEvidence","biallelic",NA
"18","CSF1R","HighEvidence","monoallelic",NA
"19","CYP27A1","HighEvidence","biallelic",NA
"20","D2HGDH","HighEvidence","biallelic",NA
"21","DARS","HighEvidence","biallelic",NA
"22","DARS2","HighEvidence","biallelic",NA
"23","DGUOK","HighEvidence","biallelic",NA
"24","DPYD","HighEvidence","biallelic",NA
"25","EARS2","HighEvidence","biallelic",NA
"26","EIF2B1","HighEvidence","biallelic",NA
"27","EIF2B2","HighEvidence","biallelic",NA
"28","EIF2B3","HighEvidence","biallelic",NA
"29","EIF2B4","HighEvidence","biallelic",NA
"30","EIF2B5","HighEvidence","biallelic",NA
"31","ERCC6","HighEvidence","biallelic",NA
"32","ERCC8","HighEvidence","biallelic",NA
"33","ETFDH","HighEvidence","biallelic",NA
"34","FAM126A","HighEvidence","biallelic",NA
"35","FLVCR2","HighEvidence","biallelic",NA
"36","FOLR1","HighEvidence","biallelic",NA
"37","FUCA1","HighEvidence","biallelic",NA
"38","GALC","HighEvidence","biallelic",NA
"39","GBE1","HighEvidence","biallelic",NA
"40","GFAP","HighEvidence","monoallelic","Other - please provide details in the comments"
"41","GFM1","HighEvidence","biallelic",NA
"42","GJA1","HighEvidence","monoallelic_and_biallelic",NA
"43","GJB1","HighEvidence","xlinked_monoallelic",NA
"44","GJC2","HighEvidence","biallelic",NA
"45","HEPACAM","HighEvidence","monoallelic_and_biallelic",NA
"46","HSD17B4","HighEvidence","biallelic",NA
"47","IBA57","HighEvidence","biallelic",NA
"48","IFIH1","HighEvidence","monoallelic",NA
"49","L2HGDH","HighEvidence","biallelic",NA
"50","LAMB1","HighEvidence","biallelic",NA
"51","LMNB1","HighEvidence","monoallelic","Other - please provide details in the comments"
"52","LYRM7","HighEvidence","biallelic",NA
"53","MCOLN1","HighEvidence","biallelic",NA
"54","MEF2C","HighEvidence","monoallelic",NA
"55","MLC1","HighEvidence","biallelic",NA
"56","MPLKIP","HighEvidence","biallelic",NA
"57","MTFMT","HighEvidence","biallelic",NA
"58","NDUFAF1","HighEvidence","biallelic",NA
"59","NDUFAF3","HighEvidence","biallelic",NA
"60","NDUFS1","HighEvidence","biallelic",NA
"61","NDUFS2","HighEvidence","biallelic",NA
"62","NDUFS4","HighEvidence","biallelic",NA
"63","NDUFS7","HighEvidence","biallelic",NA
"64","NDUFS8","HighEvidence","biallelic",NA
"65","NDUFV1","HighEvidence","biallelic",NA
"66","NKX6-2","HighEvidence","biallelic",NA
"67","NUBPL","HighEvidence","biallelic",NA
"68","PAFAH1B1","HighEvidence","monoallelic",NA
"69","PEX1","HighEvidence","biallelic",NA
"70","PEX10","HighEvidence","biallelic",NA
"71","PEX12","HighEvidence","biallelic",NA
"72","PEX13","HighEvidence","biallelic",NA
"73","PEX16","HighEvidence","biallelic",NA
"74","PEX2","HighEvidence","biallelic",NA
"75","PEX26","HighEvidence","biallelic",NA
"76","PEX3","HighEvidence","biallelic",NA
"77","PEX5","HighEvidence","biallelic",NA
"78","PEX6","HighEvidence","biallelic",NA
"79","PLP1","HighEvidence","xlinked_biallelic",NA
"80","POLG","HighEvidence","biallelic",NA
"81","POLG2","HighEvidence","monoallelic_not_imprinted",NA
"82","POLR1C","HighEvidence","biallelic",NA
"83","POLR3A","HighEvidence","biallelic",NA
"84","POLR3B","HighEvidence","biallelic",NA
"85","PSAP","HighEvidence","biallelic",NA
"86","PYCR2","HighEvidence","biallelic",NA
"87","RARS","HighEvidence","biallelic",NA
"88","RNASEH2A","HighEvidence","biallelic",NA
"89","RNASEH2B","HighEvidence","biallelic",NA
"90","RNASEH2C","HighEvidence","biallelic",NA
"91","RNASET2","HighEvidence","biallelic",NA
"92","RRM2B","HighEvidence","biallelic",NA
"93","SAMHD1","HighEvidence","biallelic",NA
"94","SCO1","HighEvidence","biallelic",NA
"95","SCO2","HighEvidence","biallelic",NA
"96","SCP2","HighEvidence","biallelic",NA
"97","SDHAF1","HighEvidence","biallelic",NA
"98","SDHB","HighEvidence","biallelic",NA
"99","SLC16A2","HighEvidence","xlinked_monoallelic",NA
"100","SLC17A5","HighEvidence","biallelic",NA
"101","SLC25A12","HighEvidence","biallelic",NA
"102","SLC25A4","HighEvidence","biallelic",NA
"103","SOX10","HighEvidence","monoallelic",NA
"104","SUCLA2","HighEvidence","biallelic",NA
"105","SUMF1","HighEvidence","biallelic",NA
"106","SURF1","HighEvidence","biallelic",NA
"107","TACO1","HighEvidence","biallelic",NA
"108","TREX1","HighEvidence","monoallelic_and_biallelic",NA
"109","TUBB4A","HighEvidence","monoallelic",NA
"110","TYMP","HighEvidence","biallelic",NA
"111","ATPAF2","ModerateEvidence","biallelic",NA
"112","COQ9","ModerateEvidence","biallelic",NA
"113","MRPS16","ModerateEvidence","biallelic",NA
"114","PEX14","ModerateEvidence","biallelic",NA
"115","PEX19","ModerateEvidence","biallelic",NA
"116","TUFM","ModerateEvidence","biallelic",NA
"117","ADGRG1","LowEvidence","unknown",NA
"118","ARX","LowEvidence","xlinked_monoallelic",NA
"119","DCX","LowEvidence","xlinked_monoallelic",NA
"120","EGR2","LowEvidence",NA,NA
"121","HSPD1","LowEvidence",NA,NA
"122","HTRA1","LowEvidence",NA,NA
"123","ISCA2","LowEvidence","biallelic",NA
"124","JAM3","LowEvidence",NA,NA
"125","MFF","LowEvidence","biallelic",NA
"126","MPZ","LowEvidence","monoallelic_and_biallelic",NA
"127","NDE1","LowEvidence","biallelic",NA
"128","NOTCH3","LowEvidence",NA,NA
"129","PMP22","LowEvidence",NA,NA
"130","RELN","LowEvidence","biallelic",NA
"131","SDHD","LowEvidence","biallelic",NA
"132","SLC25A1","LowEvidence","biallelic",NA
"133","SNORD118","LowEvidence","biallelic","Other - please provide details in the comments"
"134","TREM2","LowEvidence",NA,NA
"135","TUBA1A","LowEvidence","monoallelic",NA
"136","TUBA8","LowEvidence",NA,NA
"137","TUBB2B","LowEvidence",NA,NA
"138","ACBD5","NoList","biallelic",NA
"139","ATP7A","NoList","xlinked_biallelic",NA
"140","BOLA3","NoList","biallelic",NA
"141","CNTNAP1","NoList","biallelic",NA
"142","COL4A1","NoList","monoallelic_not_imprinted",NA
"143","CYP7B1","NoList","biallelic",NA
"144","ERCC2","NoList","biallelic",NA
"145","FA2H","NoList","biallelic",NA
"146","HEXA","NoList","biallelic",NA
"147","HMBS","NoList","biallelic",NA
"148","NAXE","NoList","biallelic",NA
"149","NDUFA2","NoList","biallelic",NA
"150","OCRL","NoList","xlinked_biallelic",NA
"151","PHGDH","NoList","biallelic",NA
"152","POLR1A","NoList","biallelic",NA
"153","PPT1","NoList","biallelic",NA
"154","PRF1","NoList","biallelic",NA
"155","RAB11B","NoList","monoallelic_not_imprinted",NA
"156","SDHA","NoList","biallelic",NA
"157","SLC13A5","NoList","biallelic",NA
"158","SPART","NoList","biallelic",NA
"159","SPG11","NoList","biallelic",NA
"160","SPG7","NoList","monoallelic_and_biallelic",NA
"161","TMEM106B","NoList","monoallelic_not_imprinted",NA
"162","TYROBP","NoList","biallelic",NA
"163","UNC13D","NoList","biallelic",NA
"164","VPS11","NoList","biallelic",NA
"165","ZFYVE26","NoList","biallelic",NA
