"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","PRKN","HighEvidence","biallelic",NA
"2","ADAR","HighEvidence","biallelic",NA
"3","ADCY5","HighEvidence","monoallelic_not_imprinted",NA
"4","ANO3","HighEvidence","monoallelic",NA
"5","APTX","HighEvidence","biallelic",NA
"6","ATM","HighEvidence","biallelic",NA
"7","ATP13A2","HighEvidence","biallelic",NA
"8","ATP1A3","HighEvidence","monoallelic_not_imprinted",NA
"9","ATP7B","HighEvidence","biallelic",NA
"10","C19orf12","HighEvidence","biallelic",NA
"11","CHMP2B","HighEvidence","monoallelic",NA
"12","COASY","HighEvidence","biallelic",NA
"13","CP","HighEvidence","biallelic",NA
"14","CSTB","HighEvidence","biallelic",NA
"15","DCAF17","HighEvidence","biallelic",NA
"16","FA2H","HighEvidence","biallelic",NA
"17","FBXO7","HighEvidence","biallelic",NA
"18","FTL","HighEvidence","monoallelic",NA
"19","GCH1","HighEvidence","monoallelic_and_biallelic",NA
"20","GNAO1","HighEvidence","monoallelic",NA
"21","HPCA","HighEvidence","biallelic",NA
"22","HTRA2","HighEvidence","biallelic",NA
"23","KMT2B","HighEvidence","monoallelic",NA
"24","MECR","HighEvidence","biallelic",NA
"25","NKX6-2","HighEvidence","biallelic",NA
"26","PANK2","HighEvidence","biallelic",NA
"27","PINK1","HighEvidence","biallelic",NA
"28","PLA2G6","HighEvidence","biallelic",NA
"29","PNKD","HighEvidence","monoallelic_not_imprinted",NA
"30","PRKRA","HighEvidence","biallelic",NA
"31","PRRT2","HighEvidence","monoallelic_not_imprinted",NA
"32","SERAC1","HighEvidence","biallelic",NA
"33","SGCE","HighEvidence","monoallelic_maternally_imprinted",NA
"34","SLC2A1","HighEvidence","monoallelic_and_biallelic",NA
"35","SLC30A10","HighEvidence","biallelic",NA
"36","SLC6A3","HighEvidence","biallelic",NA
"37","SPR","HighEvidence","biallelic",NA
"38","SYNJ1","HighEvidence","biallelic",NA
"39","TH","HighEvidence","biallelic",NA
"40","THAP1","HighEvidence","monoallelic_not_imprinted",NA
"41","TOR1A","HighEvidence","monoallelic_not_imprinted",NA
"42","TUBB4A","HighEvidence","monoallelic",NA
"43","VAC14","HighEvidence","biallelic",NA
"44","VPS13A","HighEvidence","biallelic",NA
"45","WDR45","HighEvidence","xlinked_monoallelic",NA
"46","WDR73","HighEvidence","biallelic",NA
"47","YY1","HighEvidence","monoallelic_not_imprinted",NA
"48","CIZ1","ModerateEvidence",NA,NA
"49","GNAL","ModerateEvidence","monoallelic_not_imprinted",NA
"50","TAF1","ModerateEvidence","xlinked_monoallelic",NA
"51","ACTB","LowEvidence",NA,NA
"52","AFG3L2","LowEvidence",NA,NA
"53","AP1S2","LowEvidence",NA,NA
"54","ARSA","LowEvidence",NA,NA
"55","ARX","LowEvidence",NA,NA
"56","ATP1A2","LowEvidence",NA,NA
"57","AUH","LowEvidence",NA,NA
"58","BCAP31","LowEvidence",NA,NA
"59","CACNA1A","LowEvidence",NA,NA
"60","CYP27A1","LowEvidence",NA,NA
"61","DCTN1","LowEvidence","monoallelic",NA
"62","DDC","LowEvidence",NA,NA
"63","DLAT","LowEvidence",NA,NA
"64","DRD2","LowEvidence",NA,NA
"65","DRD5","LowEvidence",NA,NA
"66","EARS2","LowEvidence",NA,NA
"67","ERCC6","LowEvidence",NA,NA
"68","FASTKD2","LowEvidence",NA,NA
"69","FOXG1","LowEvidence",NA,NA
"70","FOXRED1","LowEvidence",NA,NA
"71","GAMT","LowEvidence",NA,NA
"72","GCDH","LowEvidence",NA,NA
"73","HPRT1","LowEvidence",NA,NA
"74","KCNQ2","LowEvidence",NA,NA
"75","L2HGDH","LowEvidence",NA,NA
"76","MAT1A","LowEvidence",NA,NA
"77","MCOLN1","LowEvidence",NA,NA
"78","MMADHC","LowEvidence",NA,NA
"79","MPV17","LowEvidence",NA,NA
"80","MR1","LowEvidence","monoallelic",NA
"81","MT-ND6","LowEvidence","mitochondrial",NA
"82","NDUFA12","LowEvidence","biallelic",NA
"83","NPC2","LowEvidence",NA,NA
"84","PARK7","LowEvidence","biallelic",NA
"85","PCDH12","LowEvidence","biallelic",NA
"86","PDGFRB","LowEvidence",NA,NA
"87","PDHX","LowEvidence",NA,NA
"88","PLP1","LowEvidence",NA,NA
"89","PNPT1","LowEvidence",NA,NA
"90","PSEN1","LowEvidence",NA,NA
"91","PTEN","LowEvidence",NA,NA
"92","PTS","LowEvidence",NA,NA
"93","QDPR","LowEvidence",NA,NA
"94","RNASEH2A","LowEvidence",NA,NA
"95","RNASEH2B","LowEvidence",NA,NA
"96","RNASEH2C","LowEvidence",NA,NA
"97","SAMHD1","LowEvidence",NA,NA
"98","SCP2","LowEvidence",NA,NA
"99","SDHAF1","LowEvidence",NA,NA
"100","SLC19A3","LowEvidence",NA,NA
"101","SLC20A2","LowEvidence",NA,NA
"102","SLC39A14","LowEvidence","biallelic",NA
"103","SLC46A1","LowEvidence",NA,NA
"104","SUCLA2","LowEvidence",NA,NA
"105","SUOX","LowEvidence",NA,NA
"106","TIMM8A","LowEvidence",NA,NA
"107","TPK1","LowEvidence",NA,NA
"108","TREM2","LowEvidence",NA,NA
"109","TREX1","LowEvidence",NA,NA
"110","VPS37A","LowEvidence",NA,NA
