"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","ADA2","HighEvidence","biallelic",NA
"2","ACTA2","HighEvidence","monoallelic",NA
"3","ACVRL1","HighEvidence","monoallelic_not_imprinted",NA
"4","ATR","HighEvidence","biallelic",NA
"5","CCM2","HighEvidence","monoallelic",NA
"6","CEP152","HighEvidence","biallelic",NA
"7","COL3A1","HighEvidence","monoallelic_not_imprinted",NA
"8","ELN","HighEvidence","monoallelic_not_imprinted",NA
"9","ENG","HighEvidence","monoallelic",NA
"10","FLVCR2","HighEvidence","biallelic",NA
"11","GUCY1A3","HighEvidence","biallelic",NA
"12","HBB","HighEvidence","biallelic",NA
"13","JAG1","HighEvidence","monoallelic_not_imprinted",NA
"14","KRIT1","HighEvidence","monoallelic",NA
"15","NF1","HighEvidence","monoallelic_not_imprinted",NA
"16","NOTCH3","HighEvidence","monoallelic","Other - please provide details in the comments"
"17","PCNT","HighEvidence","biallelic",NA
"18","PDCD10","HighEvidence","monoallelic","Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments"
"19","PKD1","HighEvidence","monoallelic_not_imprinted",NA
"20","PKD2","HighEvidence","monoallelic_not_imprinted",NA
"21","RASA1","HighEvidence","monoallelic",NA
"22","SAMHD1","HighEvidence","biallelic",NA
"23","SLC2A10","HighEvidence","biallelic",NA
"24","SMAD3","HighEvidence","monoallelic_not_imprinted",NA
"25","SMAD4","HighEvidence","monoallelic_not_imprinted",NA
"26","TGFB2","HighEvidence","monoallelic_not_imprinted",NA
"27","TGFBR1","HighEvidence","monoallelic_not_imprinted",NA
"28","TGFBR2","HighEvidence","monoallelic_not_imprinted",NA
"29","THSD1","HighEvidence","monoallelic",NA
"30","GDF2","ModerateEvidence","monoallelic_not_imprinted",NA
"31","ABCC6","LowEvidence","unknown",NA
"32","ACE","LowEvidence",NA,NA
"33","ADGRG1","LowEvidence",NA,NA
"34","ANTXR1","LowEvidence","monoallelic",NA
"35","ARX","LowEvidence",NA,NA
"36","ATP7A","LowEvidence","xlinked_monoallelic",NA
"37","BRCC3","LowEvidence","xlinked_monoallelic",NA
"38","CENPJ","LowEvidence","biallelic",NA
"39","CEP63","LowEvidence","biallelic",NA
"40","COL4A1","LowEvidence","monoallelic",NA
"41","COL4A2","LowEvidence",NA,NA
"42","CRB1","LowEvidence","monoallelic",NA
"43","DCX","LowEvidence",NA,NA
"44","DNA2","LowEvidence","biallelic",NA
"45","FBN1","LowEvidence","monoallelic_not_imprinted",NA
"46","FLT4","LowEvidence",NA,NA
"47","FOXF1","LowEvidence","monoallelic",NA
"48","GLA","LowEvidence","unknown",NA
"49","GLMN","LowEvidence","monoallelic",NA
"50","GNAQ","LowEvidence",NA,NA
"51","HLA-B","LowEvidence","unknown",NA
"52","HLA-DQB1","LowEvidence","unknown",NA
"53","HLA-DRB1","LowEvidence","unknown",NA
"54","HTRA1","LowEvidence","unknown",NA
"55","IL6","LowEvidence",NA,NA
"56","KDR","LowEvidence","monoallelic",NA
"57","LAMB1","LowEvidence",NA,NA
"58","LAMC3","LowEvidence",NA,NA
"59","LARGE1","LowEvidence",NA,NA
"60","MEF2C","LowEvidence","monoallelic",NA
"61","NDE1","LowEvidence",NA,NA
"62","NIN","LowEvidence","biallelic",NA
"63","OCLN","LowEvidence",NA,NA
"64","OPHN1","LowEvidence",NA,NA
"65","PAFAH1B1","LowEvidence",NA,NA
"66","PIK3CA","LowEvidence",NA,NA
"67","PIK3R2","LowEvidence",NA,NA
"68","POMGNT1","LowEvidence",NA,NA
"69","POMT1","LowEvidence",NA,NA
"70","POMT2","LowEvidence",NA,NA
"71","PTEN","LowEvidence","monoallelic",NA
"72","RBBP8","LowEvidence","biallelic",NA
"73","RELN","LowEvidence",NA,NA
"74","RNF213","LowEvidence","unknown",NA
"75","RTTN","LowEvidence",NA,NA
"76","SMARCAL1","LowEvidence","biallelic",NA
"77","SRPX2","LowEvidence",NA,NA
"78","STAMBP","LowEvidence","biallelic",NA
"79","TEK","LowEvidence","monoallelic",NA
"80","TMEM5","LowEvidence",NA,NA
"81","TRAIP","LowEvidence","biallelic",NA
"82","TUBA1A","LowEvidence",NA,NA
"83","TUBA8","LowEvidence",NA,NA
"84","TUBB","LowEvidence",NA,NA
"85","TUBB2A","LowEvidence",NA,NA
"86","TUBB2B","LowEvidence",NA,NA
"87","TUBB3","LowEvidence",NA,NA
"88","TUBG1","LowEvidence",NA,NA
"89","VLDLR","LowEvidence",NA,NA
"90","WDR62","LowEvidence",NA,NA
"91","ANIB1","NoList","monoallelic",NA
"92","MYMY1","NoList","biallelic",NA
"93","MYMY3","NoList","unknown",NA
