"","GeneSymbol","LevelOfConfidence"
"1","ALS2","HighEvidence"
"2","DCTN1","HighEvidence"
"3","SLC52A3","HighEvidence"
"4","PFN1","HighEvidence"
"5","SETX","HighEvidence"
"6","FIG4","HighEvidence"
"7","AR","HighEvidence"
"8","SIGMAR1","HighEvidence"
"9","TBK1","HighEvidence"
"10","SOD1","HighEvidence"
"11","FUS","HighEvidence"
"12","ANG","HighEvidence"
"13","VCP","HighEvidence"
"14","HNRNPA1","HighEvidence"
"15","SLC52A2","HighEvidence"
"16","TARDBP","HighEvidence"
"17","UBQLN2","HighEvidence"
"18","OPTN","HighEvidence"
"19","VAPB","HighEvidence"
"20","NEFH","ModerateEvidence"
"21","ATXN2","LowEvidence"
"22","UNC13A","LowEvidence"
"23","CHCHD10","LowEvidence"
"24","VEGFA","LowEvidence"
"25","C9orf72","LowEvidence"
"26","ERBB4","LowEvidence"
"27","CHMP2B","LowEvidence"
"28","GRN","LowEvidence"
"29","SLC52A1","LowEvidence"
"30","HFE","LowEvidence"
