"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","LARGE1","HighEvidence","biallelic",NA
"2","ADGRG1","HighEvidence","biallelic",NA
"3","AMPD2","HighEvidence","biallelic",NA
"4","B3GALNT2","HighEvidence","biallelic",NA
"5","CASK","HighEvidence","xlinked_monoallelic",NA
"6","CHMP1A","HighEvidence","biallelic",NA
"7","CLP1","HighEvidence","biallelic",NA
"8","CWF19L1","HighEvidence","biallelic",NA
"9","DKC1","HighEvidence","xlinked_biallelic",NA
"10","EXOSC3","HighEvidence","biallelic",NA
"11","FKRP","HighEvidence","biallelic",NA
"12","FKTN","HighEvidence","biallelic",NA
"13","GMPPB","HighEvidence","biallelic",NA
"14","ISPD","HighEvidence","biallelic",NA
"15","ITPR1","HighEvidence","monoallelic_and_more_severe_biallelic",NA
"16","KCNC3","HighEvidence","monoallelic_not_imprinted",NA
"17","OPHN1","HighEvidence","xlinked_biallelic",NA
"18","POMGNT1","HighEvidence","biallelic",NA
"19","POMGNT2","HighEvidence","biallelic",NA
"20","POMT1","HighEvidence","biallelic",NA
"21","POMT2","HighEvidence","biallelic",NA
"22","PTF1A","HighEvidence","biallelic",NA
"23","RARS2","HighEvidence","biallelic",NA
"24","RELN","HighEvidence","biallelic",NA
"25","ROBO3","HighEvidence","biallelic",NA
"26","SEPSECS","HighEvidence","biallelic",NA
"27","SNX14","HighEvidence","monoallelic_and_more_severe_biallelic",NA
"28","SPTBN2","HighEvidence","monoallelic_and_biallelic",NA
"29","TINF2","HighEvidence","monoallelic_not_imprinted",NA
"30","TMEM5","HighEvidence","biallelic",NA
"31","TOE1","HighEvidence","biallelic",NA
"32","TSEN2","HighEvidence","biallelic",NA
"33","TSEN34","HighEvidence","biallelic",NA
"34","TSEN54","HighEvidence","biallelic",NA
"35","TUBA1A","HighEvidence","monoallelic_not_imprinted",NA
"36","TUBA8","HighEvidence","biallelic",NA
"37","TUBB2B","HighEvidence","monoallelic_not_imprinted",NA
"38","TUBB3","HighEvidence","monoallelic_not_imprinted",NA
"39","VLDLR","HighEvidence","biallelic",NA
"40","VRK1","HighEvidence","biallelic",NA
"41","WDR81","HighEvidence","biallelic",NA
"42","ATP8A2","ModerateEvidence","biallelic",NA
"43","B4GAT1","ModerateEvidence","biallelic",NA
"44","CA8","ModerateEvidence","biallelic",NA
"45","DAG1","ModerateEvidence",NA,NA
"46","DCC","ModerateEvidence","biallelic",NA
"47","PHGDH","ModerateEvidence","biallelic",NA
"48","TERT","ModerateEvidence","biallelic",NA
"49","VPS53","ModerateEvidence","biallelic",NA
"50","BRF1","LowEvidence","biallelic",NA
"51","CDK5","LowEvidence","biallelic",NA
"52","EXOSC8","LowEvidence",NA,NA
"53","FRMD4A","LowEvidence","biallelic",NA
"54","PCLO","LowEvidence","biallelic",NA
"55","PI4KA","LowEvidence","biallelic",NA
"56","PMPCA","LowEvidence","biallelic",NA
"57","POMK","LowEvidence","biallelic",NA
"58","STUB1","LowEvidence","biallelic",NA
"59","TSEN15","LowEvidence","biallelic",NA
"60","TUBB","LowEvidence","monoallelic_not_imprinted",NA
