"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","ELP1","HighEvidence","biallelic",NA
"2","RETREG1","HighEvidence","biallelic",NA
"3","AARS","HighEvidence","monoallelic",NA
"4","AIFM1","HighEvidence","xlinked_biallelic",NA
"5","APTX","HighEvidence","biallelic",NA
"6","ARHGEF10","HighEvidence","monoallelic_not_imprinted",NA
"7","ATL1","HighEvidence","monoallelic",NA
"8","ATL3","HighEvidence","monoallelic_not_imprinted",NA
"9","ATM","HighEvidence","biallelic",NA
"10","ATP7A","HighEvidence","xlinked_biallelic",NA
"11","BICD2","HighEvidence","monoallelic_not_imprinted",NA
"12","BSCL2","HighEvidence","monoallelic",NA
"13","C12orf65","HighEvidence","biallelic",NA
"14","CHCHD10","HighEvidence","monoallelic_not_imprinted",NA
"15","COX6A1","HighEvidence","biallelic",NA
"16","DNM2","HighEvidence","monoallelic",NA
"17","DNMT1","HighEvidence","monoallelic",NA
"18","DYNC1H1","HighEvidence","monoallelic",NA
"19","EGR2","HighEvidence","monoallelic",NA
"20","FBLN5","HighEvidence","monoallelic_not_imprinted",NA
"21","FGD4","HighEvidence","biallelic",NA
"22","FIG4","HighEvidence","biallelic",NA
"23","GAN","HighEvidence","biallelic",NA
"24","GARS","HighEvidence","monoallelic",NA
"25","GDAP1","HighEvidence","monoallelic_and_biallelic",NA
"26","GJB1","HighEvidence","xlinked_monoallelic",NA
"27","GLA","HighEvidence","xlinked_monoallelic",NA
"28","HARS","HighEvidence","monoallelic_not_imprinted",NA
"29","HINT1","HighEvidence","biallelic",NA
"30","HK1","HighEvidence","biallelic",NA
"31","HSPB1","HighEvidence","monoallelic",NA
"32","HSPB8","HighEvidence","monoallelic",NA
"33","IGHMBP2","HighEvidence","biallelic",NA
"34","INF2","HighEvidence","monoallelic_not_imprinted",NA
"35","KIF1A","HighEvidence","biallelic",NA
"36","KIF5A","HighEvidence","monoallelic_not_imprinted",NA
"37","LITAF","HighEvidence","monoallelic",NA
"38","LMNA","HighEvidence","biallelic",NA
"39","LRSAM1","HighEvidence","monoallelic_and_biallelic",NA
"40","MFN2","HighEvidence","monoallelic_and_biallelic",NA
"41","MORC2","HighEvidence","monoallelic",NA
"42","MPV17","HighEvidence","biallelic",NA
"43","MPZ","HighEvidence","monoallelic",NA
