"","GeneSymbol","LevelOfConfidence","ModeOfInheritance","ModeOfPathogenicity"
"1","MYMK","HighEvidence","biallelic",NA
"2","SELENON","HighEvidence","monoallelic_and_biallelic",NA
"3","ACTA1","HighEvidence","biallelic",NA
"4","ADAMTS10","HighEvidence","biallelic",NA
"5","ADGRG6","HighEvidence","biallelic",NA
"6","ANTXR2","HighEvidence","biallelic",NA
"7","ASXL1","HighEvidence","monoallelic_not_imprinted",NA
"8","B3GALNT2","HighEvidence","biallelic",NA
"9","B4GAT1","HighEvidence","biallelic",NA
"10","CHAT","HighEvidence","biallelic",NA
"11","CHRNA1","HighEvidence","monoallelic_and_biallelic","Other - please provide details in the comments"
"12","CHRNB1","HighEvidence","monoallelic_and_biallelic","Other - please provide details in the comments"
"13","CHRND","HighEvidence","biallelic","Other - please provide details in the comments"
"14","CHRNE","HighEvidence","monoallelic_and_biallelic",NA
"15","CHRNG","HighEvidence","biallelic",NA
"16","CHST14","HighEvidence","biallelic",NA
"17","CNTNAP1","HighEvidence","biallelic",NA
"18","COL12A1","HighEvidence","monoallelic_and_biallelic",NA
"19","COL6A1","HighEvidence","monoallelic",NA
"20","COL6A2","HighEvidence","monoallelic_and_biallelic",NA
"21","COL6A3","HighEvidence","monoallelic_and_biallelic",NA
"22","COLQ","HighEvidence","biallelic",NA
"23","CRLF1","HighEvidence","biallelic",NA
"24","DAG1","HighEvidence","biallelic",NA
"25","DNM2","HighEvidence","biallelic",NA
"26","DOK7","HighEvidence","biallelic",NA
"27","ECEL1","HighEvidence","biallelic",NA
"28","ERCC6","HighEvidence","biallelic",NA
"29","ERCC8","HighEvidence","biallelic",NA
"30","EXOSC3","HighEvidence","biallelic",NA
"31","FAM20C","HighEvidence","biallelic",NA
"32","FBN2","HighEvidence","monoallelic","Other - please provide details in the comments"
"33","FGFR2","HighEvidence","biallelic",NA
"34","FGFR3","HighEvidence","monoallelic_and_biallelic",NA
"35","FKBP10","HighEvidence","biallelic",NA
"36","FKRP","HighEvidence","biallelic",NA
"37","FKTN","HighEvidence","biallelic",NA
"38","FLNB","HighEvidence","monoallelic_and_biallelic",NA
"39","GBA","HighEvidence","biallelic",NA
"40","GBE1","HighEvidence","biallelic",NA
"41","GLDN","HighEvidence","biallelic",NA
"42","GLE1","HighEvidence","biallelic",NA
"43","GMPPB","HighEvidence","biallelic",NA
"44","HSPG2","HighEvidence","biallelic",NA
"45","IRF6","HighEvidence","monoallelic",NA
"46","ISPD","HighEvidence","biallelic",NA
"47","KAT6B","HighEvidence","monoallelic_not_imprinted","Other - please provide details in the comments"
"48","KIAA1109","HighEvidence","biallelic",NA
"49","KLHL40","HighEvidence","biallelic",NA
"50","KLHL41","HighEvidence","biallelic",NA
"51","KLHL7","HighEvidence","biallelic",NA
"52","LAMA2","HighEvidence","biallelic",NA
"53","LARGE1","HighEvidence","biallelic",NA
"54","LGI4","HighEvidence","biallelic",NA
"55","LMOD3","HighEvidence","biallelic",NA
"56","MTM1","HighEvidence","xlinked_monoallelic",NA
"57","MUSK","HighEvidence","biallelic",NA
"58","MYBPC1","HighEvidence","monoallelic_and_biallelic",NA
"59","MYH2","HighEvidence","monoallelic",NA
"60","MYH3","HighEvidence","monoallelic",NA
"61","MYH7","HighEvidence","monoallelic_and_biallelic",NA
"62","MYH8","HighEvidence","monoallelic_not_imprinted",NA
"63","NALCN","HighEvidence","monoallelic_not_imprinted",NA
"64","NEB","HighEvidence","biallelic",NA
"65","PEX1","HighEvidence","biallelic",NA
"66","PEX10","HighEvidence","biallelic",NA
"67","PEX11B","HighEvidence","biallelic",NA
"68","PEX12","HighEvidence","biallelic",NA
"69","PEX13","HighEvidence","biallelic",NA
"70","PEX14","HighEvidence","biallelic",NA
"71","PEX16","HighEvidence","biallelic",NA
"72","PEX19","HighEvidence","biallelic",NA
"73","PEX2","HighEvidence","biallelic",NA
"74","PEX26","HighEvidence","biallelic",NA
"75","PEX3","HighEvidence","biallelic",NA
"76","PEX5","HighEvidence","biallelic",NA
"77","PEX6","HighEvidence","biallelic",NA
"78","PEX7","HighEvidence","biallelic",NA
"79","PFKM","HighEvidence","biallelic",NA
"80","PIEZO2","HighEvidence","monoallelic",NA
"81","PLOD1","HighEvidence","biallelic",NA
"82","PLOD2","HighEvidence","biallelic",NA
"83","POMGNT1","HighEvidence","biallelic",NA
"84","POMGNT2","HighEvidence","biallelic",NA
"85","POMK","HighEvidence","biallelic",NA
"86","POMT1","HighEvidence","biallelic",NA
"87","POMT2","HighEvidence","biallelic",NA
"88","POR","HighEvidence","biallelic",NA
"89","PRG4","HighEvidence","biallelic",NA
"90","RAPSN","HighEvidence","biallelic",NA
"91","RIPK4","HighEvidence","biallelic",NA
"92","RYR1","HighEvidence","monoallelic_and_biallelic",NA
"93","SCARF2","HighEvidence","biallelic",NA
"94","SCN4A","HighEvidence","biallelic",NA
"95","SKI","HighEvidence","monoallelic",NA
"96","SLC5A7","HighEvidence","biallelic",NA
"97","SMAD3","HighEvidence","monoallelic_not_imprinted",NA
"98","SMAD4","HighEvidence","monoallelic_not_imprinted",NA
"99","TGFB2","HighEvidence","monoallelic_not_imprinted",NA
"100","TGFB3","HighEvidence","monoallelic_not_imprinted",NA
"101","TGFBR1","HighEvidence","monoallelic",NA
"102","TGFBR2","HighEvidence","monoallelic",NA
"103","TMEM5","HighEvidence","biallelic",NA
"104","TNNI2","HighEvidence","monoallelic",NA
"105","TNNT1","HighEvidence","biallelic",NA
"106","TNNT3","HighEvidence","monoallelic",NA
"107","TPM2","HighEvidence","monoallelic",NA
"108","TPM3","HighEvidence","monoallelic_and_biallelic",NA
"109","TRPV4","HighEvidence","monoallelic_not_imprinted",NA
"110","TSEN54","HighEvidence","biallelic",NA
"111","UBA1","HighEvidence","xlinked_biallelic",NA
"112","VIPAS39","HighEvidence","biallelic",NA
"113","VPS33B","HighEvidence","biallelic",NA
"114","ZC4H2","HighEvidence","xlinked_biallelic",NA
"115","ZMPSTE24","HighEvidence","biallelic",NA
"116","DPM2","ModerateEvidence","biallelic",NA
"117","ERBB3","ModerateEvidence","biallelic",NA
"118","ORAI1","ModerateEvidence","monoallelic_not_imprinted",NA
"119","PIP5K1C","ModerateEvidence","biallelic",NA
"120","STIM1","ModerateEvidence","monoallelic_not_imprinted","Other - please provide details in the comments"
"121","ABHD5","LowEvidence","biallelic",NA
"122","ACADM","LowEvidence",NA,NA
"123","ACADS","LowEvidence",NA,NA
"124","ACADVL","LowEvidence",NA,NA
"125","ADCY6","LowEvidence","biallelic",NA
"126","ADSL","LowEvidence","biallelic",NA
"127","AGL","LowEvidence",NA,NA
"128","AGRN","LowEvidence",NA,NA
"129","AIMP1","LowEvidence",NA,NA
"130","ALG14","LowEvidence",NA,NA
"131","ALG2","LowEvidence","biallelic",NA
"132","ANO5","LowEvidence","biallelic",NA
"133","ANXA3","LowEvidence","monoallelic",NA
"134","ATP2A1","LowEvidence","monoallelic",NA
"135","BAG3","LowEvidence","monoallelic",NA
"136","BICD2","LowEvidence",NA,NA
"137","BIN1","LowEvidence","biallelic",NA
"138","CAPN3","LowEvidence",NA,NA
"139","CAV3","LowEvidence",NA,NA
"140","CCDC78","LowEvidence",NA,NA
"141","CFL2","LowEvidence","biallelic",NA
"142","CHCHD10","LowEvidence",NA,NA
"143","CHKB","LowEvidence","biallelic",NA
"144","CLCF1","LowEvidence","biallelic",NA
"145","CNTN1","LowEvidence","biallelic",NA
"146","COL4A1","LowEvidence","monoallelic_not_imprinted",NA
"147","COL4A2","LowEvidence",NA,NA
"148","COL9A3","LowEvidence",NA,NA
"149","CPT2","LowEvidence",NA,NA
"150","CRYAB","LowEvidence","monoallelic",NA
"151","CTDP1","LowEvidence",NA,NA
"152","CUL4B","LowEvidence",NA,NA
"153","DES","LowEvidence","monoallelic",NA
"154","DMD","LowEvidence",NA,NA
"155","DMPK","LowEvidence","monoallelic_not_imprinted","Other - please provide details in the comments"
"156","DNAJB6","LowEvidence","monoallelic",NA
"157","DOLK","LowEvidence","biallelic",NA
