"","GeneSymbol","LevelOfConfidence"
"1","ADA2","HighEvidence"
"2","SAMHD1","HighEvidence"
"3","PDCD10","HighEvidence"
"4","JAG1","HighEvidence"
"5","PCNT","HighEvidence"
"6","ACVRL1","HighEvidence"
"7","ENG","HighEvidence"
"8","FLVCR2","HighEvidence"
"9","SMAD3","HighEvidence"
"10","COL3A1","HighEvidence"
"11","NOTCH3","HighEvidence"
"12","HBB","HighEvidence"
"13","ACTA2","HighEvidence"
"14","TGFBR2","HighEvidence"
"15","SLC2A10","HighEvidence"
"16","THSD1","HighEvidence"
"17","GUCY1A3","HighEvidence"
"18","CEP152","HighEvidence"
"19","PKD2","HighEvidence"
"20","ELN","HighEvidence"
"21","ATR","HighEvidence"
"22","PKD1","HighEvidence"
"23","KRIT1","HighEvidence"
"24","NF1","HighEvidence"
"25","CCM2","HighEvidence"
"26","SMAD4","HighEvidence"
"27","RASA1","HighEvidence"
"28","TGFBR1","HighEvidence"
"29","TGFB2","HighEvidence"
"30","GDF2","ModerateEvidence"
"31","PAFAH1B1","LowEvidence"
"32","HLA-DRB1","LowEvidence"
"33","GNAQ","LowEvidence"
"34","HTRA1","LowEvidence"
"35","ABCC6","LowEvidence"
"36","STAMBP","LowEvidence"
"37","KDR","LowEvidence"
"38","WDR62","LowEvidence"
"39","GLA","LowEvidence"
"40","SMARCAL1","LowEvidence"
"41","FLT4","LowEvidence"
"42","POMGNT1","LowEvidence"
"43","HLA-DQB1","LowEvidence"
"44","GLMN","LowEvidence"
"45","TUBB2B","LowEvidence"
"46","COL4A1","LowEvidence"
"47","MEF2C","LowEvidence"
"48","ANTXR1","LowEvidence"
"49","HLA-B","LowEvidence"
"50","FOXF1","LowEvidence"
"51","DCX","LowEvidence"
"52","LAMC3","LowEvidence"
"53","DNA2","LowEvidence"
"54","SRPX2","LowEvidence"
"55","LARGE1","LowEvidence"
"56","VLDLR","LowEvidence"
"57","TUBB2A","LowEvidence"
"58","LAMB1","LowEvidence"
"59","RELN","LowEvidence"
"60","TUBG1","LowEvidence"
"61","TUBB3","LowEvidence"
"62","COL4A2","LowEvidence"
"63","PTEN","LowEvidence"
"64","OCLN","LowEvidence"
"65","ARX","LowEvidence"
"66","IL6","LowEvidence"
"67","TUBA1A","LowEvidence"
"68","OPHN1","LowEvidence"
"69","TUBA8","LowEvidence"
"70","POMT2","LowEvidence"
"71","CEP63","LowEvidence"
"72","TRAIP","LowEvidence"
"73","POMT1","LowEvidence"
"74","ADGRG1","LowEvidence"
"75","CENPJ","LowEvidence"
"76","FBN1","LowEvidence"
"77","RNF213","LowEvidence"
"78","TEK","LowEvidence"
"79","NIN","LowEvidence"
"80","CRB1","LowEvidence"
"81","RBBP8","LowEvidence"
"82","TMEM5","LowEvidence"
"83","NDE1","LowEvidence"
"84","PIK3R2","LowEvidence"
"85","BRCC3","LowEvidence"
"86","ACE","LowEvidence"
"87","PIK3CA","LowEvidence"
"88","ATP7A","LowEvidence"
"89","RTTN","LowEvidence"
"90","TUBB","LowEvidence"
"91","ANIB1","NoList"
"92","MYMY3","NoList"
"93","MYMY1","NoList"
