"","GeneSymbol","LevelOfConfidence"
"1","DYNC1H1","HighEvidence"
"2","EXOSC3","HighEvidence"
"3","BICD2","HighEvidence"
"4","CHCHD10","HighEvidence"
"5","TRIP4","HighEvidence"
"6","TRPV4","HighEvidence"
"7","IGHMBP2","HighEvidence"
"8","SLC52A2","HighEvidence"
"9","UBA1","HighEvidence"
"10","SLC52A3","HighEvidence"
"11","AR","HighEvidence"
"12","ASAH1","HighEvidence"
"13","SPG11","HighEvidence"
"14","VRK1","HighEvidence"
"15","SMN1","HighEvidence"
"16","ATP7A","ModerateEvidence"
"17","SETX","ModerateEvidence"
"18","VAPB","ModerateEvidence"
"19","REEP1","ModerateEvidence"
"20","HSPB1","ModerateEvidence"
"21","HSPB8","ModerateEvidence"
"22","EXOSC8","ModerateEvidence"
"23","ALS2","ModerateEvidence"
"24","DNAJB2","LowEvidence"
"25","SYT2","LowEvidence"
"26","PLEKHG5","LowEvidence"
"27","SNRPN","LowEvidence"
"28","MEG3","LowEvidence"
"29","BSCL2","LowEvidence"
"30","SLC52A1","LowEvidence"
"31","GARS","LowEvidence"
"32","DCTN1","LowEvidence"
"33","UBQLN1","LowEvidence"
"34","SIGMAR1","LowEvidence"
"35","FBXO38","LowEvidence"
"36","SLC5A7","LowEvidence"
"37","AARS","LowEvidence"
"38","DMPK","LowEvidence"
"39","HSPB3","LowEvidence"
